"Country","M","F"
"Nicaragua",69.91,76.02
"Niger",55.58,55.75
"Nigeria",49.89,50.47
"Northern Africa",66.3125543651091,70.2696908392552
"Northern America",75.826810401112,80.8194957328828
"Northern Europe",76.6555112206056,81.5814150220106
"Norway",78.26,82.85
"Oceania",74.3747380502472,78.9648868081235
"Oman",73.19,77.5
"Other non-specified areas",75.23,81.5
"Pakistan",64.91,66.52
"Panama",73.55,79.48
"Papua New Guinea",59.49,63.66
"Paraguay",69.7,73.92
"Peru",70.5,75.87
"Philippines",64.54,71.29
"Poland",71.19,79.77
"Polynesia",70.5849629758237,75.9411968067051
"Portugal",75.45,81.88
"Puerto Rico",73.84,81.79
"Qatar",76.9,78.68
"Réunion",74.47,81.87
"Republic of Korea",76.48,83.23
"Republic of Moldova",64.4,72.1
"Romania",69.51,76.74
"Russian Federation",60.97,73.69
"Rwanda",58.52,61.11
"Saint Lucia",71.42,76.63
"Saint Vincent and the Grenadines",69.83,73.99
"Samoa",68.62,74.89
"Sao Tome and Principe",63.55,67.35
"Saudi Arabia",72.76,76.37
"Senegal",60.77,63.59
"Serbia",70.59,76.11
"Seychelles",68.05,77.27
"Sierra Leone",43.82,44.12
"Singapore",78.72,83.66
"Slovakia",70.72,78.58
"Slovenia",75.08,82.02
"Solomon Islands",65.12,67.76
"Somalia",51.65,54.8
"South-Central Asia",63.938107646192,67.2605234442249
"South-Eastern Asia",67.5588248541645,73.2059966721792
"South Africa",50.82,53.4
"South America",69.5917565971343,76.535360290576
"South Sudan",51.13,53.12
"Southern Africa",50.5730107227611,52.996100041323
"Southern Europe",76.9727124033875,82.8008459278938
"Spain",77.95,84.43
"Sri Lanka",70.36,76.62
"State of Palestine",70.6,73.81
"Sub-Saharan Africa",52.0824738438592,53.9000589933016
"Sudan",59.2,62.66
"Suriname",66.42,73.11
"Swaziland",47.56,47.05
"Sweden",78.97,83.1
"Switzerland",79.29,84.09
"Syrian Arab Republic",73.13,77.33
"Tajikistan",63.31,69.94
"TFYR Macedonia",72.13,76.68
"Thailand",69.97,76.72
"Timor-Leste",63,66
"Togo",53.97,55.43
"Tonga",69.05,74.7
"Trinidad and Tobago",65.85,72.96
"Tunisia",72.3,77.04
"Turkey",69.92,76.91
"Turkmenistan",60.61,68.94
"Uganda",54.63,55.69
"Ukraine",62.25,73.79
"United Arab Emirates",75.15,77.13
"United Kingdom",77.5,81.71
"United Republic of Tanzania",55.76,57.38
"United States of America",75.57,80.6
"United States Virgin Islands",75.89,82.01
"Uruguay",72.76,79.86
"Uzbekistan",64.37,70.93
"Vanuatu",68.2,72.06
"Venezuela (Bolivarian Republic of)",70.86,76.8
"Viet Nam",70.22,79.9
"Western Africa",51.8540246547456,52.8602533720767
"Western Asia",69.686442867335,75.0908994488842
"Western Europe",77.2958065055588,82.9849506855272
"Western Sahara",64.27,68.1
"World",66.263999370462,70.6518819901771
"Yemen",60.75,63.38
"Zambia",50.3,51.56
"Zimbabwe",47.75,46.72
